NO.,NAME,YR,POS,YEAR,APP,GS,W,L,SV,CG,IP,H,R,ER,BB,K,K/9,HR,ERA
19,Paul Frisoli,Gr.,P,2021,4,4,2,0,0,0,25,14,9,9,12,26,9.36,3,3.24
21,Jared Brooks,Sr.,P,2021,4,4,3,1,0,2,22,14,10,9,13,25,10.23,0,3.68
2,Evan Christopulos,Sr.,P,2021,4,4,2,1,0,1,20,23,15,12,3,22,9.9,1,5.4
11,Lloyd Hill,Gr.,P,2021,4,4,2,0,0,0,20,19,12,9,14,15,6.75,0,4.05
20,Brandon Ostiguy,Jr.,P,2021,6,0,1,0,1,0,11.2,6,1,0,5,16,12.34,0,0
1,Zach Zdimal,Jr.,P,2021,7,0,0,1,0,0,9.2,13,13,13,7,5,4.66,1,12.1
24,Jimmy Hodgson,Sr.,P,2021,5,0,1,0,0,0,8,7,4,4,6,5,5.63,0,4.5
15,Jimmy Cunningham,Sr.,P,2021,5,2,0,3,0,0,7.1,16,13,12,3,8,9.82,0,14.73
28,Bobby DiCapua,Fr.,P,2021,5,0,0,0,0,0,7,9,5,2,6,5,6.43,0,2.57
12,David Morganelli,So.,P,2021,4,1,1,0,0,0,5.1,8,11,11,6,5,8.44,2,18.56
32,Ryan Sullivan,Fr.,P,2021,4,0,1,1,0,0,5.1,5,4,4,2,5,8.44,0,6.75
3,Gary Farnham,Sr.,P,2021,2,0,0,0,0,0,5,8,5,4,1,4,7.2,0,7.2
33,Connor Sheehan,So.,P,2021,4,1,0,0,0,0,5,10,6,6,3,2,3.6,0,10.8
14,Ryan Donovan,So.,P,2021,2,0,0,0,0,0,2.1,1,0,0,2,1,3.86,0,0
22,Dylan Vaglica,So.,P,2021,2,0,0,0,0,0,1.2,2,4,3,4,1,5.4,0,16.2
90,Harry Kelley,So.,P,2021,1,0,0,0,0,0,1,2,1,1,0,0,0,0,9
94,David Van Beusekom,Jr.,P,2021,1,0,0,0,0,0,0,0,3,3,3,0,0,0,100
19,Paul Frisoli,Gr.,P,2020,4,4,0,1,0,0,20.1,24,10,6,13,22,9.74,1,2.66
2,Evan Christopulos,Jr.,P,2020,3,3,2,1,0,0,17,31,20,16,2,12,6.35,2,8.47
11,Lloyd Hill,Sr.,P,2020,3,3,0,3,0,0,13.1,25,14,10,5,4,2.7,2,6.75
21,Jared Brooks,Jr.,P,2020,3,3,0,2,0,0,12,23,17,15,5,8,6,0,11.25
12,Ryan Corriveau,Gr.,P,2020,5,1,2,0,0,0,10.2,15,8,6,3,6,5.06,0,5.06
22,Will Rossiter,Sr.,P,2020,5,0,1,0,1,0,10.2,8,5,2,7,9,7.59,0,1.69
33,Brandon Ostiguy,So.,P,2020,5,0,0,0,1,0,9.2,10,4,3,4,12,11.17,2,2.79
15,Jimmy Cunningham,Jr.,P,2020,4,0,0,0,0,0,9,4,1,1,4,11,11,0,1
1,Zach Zdimal,So.,P,2020,3,0,0,1,0,0,5.1,8,9,7,4,4,6.75,2,11.81
24,Jimmy Hodgson,Jr.,P,2020,4,0,0,1,1,0,5,7,7,7,7,3,5.4,0,12.6
6,Ronald Orie III,Jr.,P,2020,3,0,0,0,0,0,3,6,4,4,2,2,6,0,12
29,David Morganelli,Fr.,P,2020,3,0,0,0,0,0,2,2,3,3,2,2,9,0,13.5
14,Ryan Donovan,Fr.,P,2020,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0
19,Paul Frisoli,Sr.,P,2019,12,10,5,2,0,2,54.1,52,27,20,28,49,8.12,2,3.31
24,Jimmy Hodgson,So.,P,2019,17,3,5,3,2,0,51,59,26,24,12,32,5.65,2,4.24
29,Evan Christopulos,So.,P,2019,12,6,4,1,1,1,50.1,51,24,18,16,39,6.97,0,3.22
22,Will Rossiter,Jr.,P,2019,16,2,3,2,3,0,41.1,35,20,17,19,47,10.23,1,3.7
12,Ryan Corriveau,Sr.,P,2019,15,6,1,2,1,0,39.2,52,34,27,13,32,7.26,1,6.13
11,Lloyd Hill,Jr.,P,2019,6,5,2,1,0,0,28.1,17,7,6,14,19,6.04,1,1.91
21,Luke Dawson,Sr.,P,2019,9,6,1,5,0,0,27,25,19,15,20,30,10,1,5
1,Zachary Zdimal,Fr.,P,2019,9,0,0,0,1,0,15,17,4,4,5,14,8.4,0,2.4
6,Ronald Orie III,So.,P,2019,8,1,0,2,0,0,14.2,20,20,14,6,12,7.36,2,8.59
30,Greg Johnson,Jr.,P,2019,6,0,0,0,0,0,11.1,16,8,5,4,4,3.18,0,3.97
14,Daniel Riley,Sr.,P,2019,8,1,0,1,0,0,11.1,24,21,13,7,7,5.56,1,10.32
15,Jimmy Cunningham,So.,P,2019,11,0,0,1,0,0,11,18,16,14,11,13,10.64,0,11.45
28,Llewellyn Jensen,Sr.,P,2019,3,2,0,1,0,0,4.1,15,17,13,7,0,0,0,27
31,Gary Farnham,So.,P,2019,3,0,0,0,0,0,3,3,1,1,1,1,3,0,3
